127.0.0.1 - - [11/Jun/2021:18:59:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/images/blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/images/blog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/images/b3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/images/b5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:32 +0530] "GET /hello_Doctor/images/blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/bg4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/images/right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:33 +0530] "GET /hello_Doctor/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:53 +0530] "POST /hello_Doctor/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:53 +0530] "GET /hello_Doctor/Menu.jsp HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [11/Jun/2021:18:59:54 +0530] "GET /hello_Doctor/ViewHospital.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:00:34 +0530] "GET /hello_Doctor/Patience_History.jsp?patient_email=shaliniawasthi311%40gmail.com HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:00:36 +0530] "GET /hello_Doctor/DownloadServlet?fileName=NIkil%20batch.docx HTTP/1.1" 200 12637
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:00:44 +0530] "GET /hello_Doctor/Menu.jsp HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:00:44 +0530] "GET /hello_Doctor/ViewHospital.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:00:55 +0530] "GET /hello_Doctor/BookAppointment.jsp?doctor_hospital=AIMS HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:01:57 +0530] "GET /hello_Doctor/DoctorIndex.jsp HTTP/1.1" 200 23857
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:05 +0530] "POST /hello_Doctor/Doctor_Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:05 +0530] "GET /hello_Doctor/DoctorError.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:05 +0530] "GET /hello_Doctor/css/font-awesome.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:05 +0530] "GET /hello_Doctor/images/error-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:06 +0530] "GET /hello_Doctor/assets/css/error.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:16 +0530] "POST /hello_Doctor/Doctor_Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:16 +0530] "GET /hello_Doctor/Doctor_Menu.jsp HTTP/1.1" 200 4882
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:23 +0530] "GET /hello_Doctor/ViewAppointemet.jsp?name=Dr.AnushkaGupta HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:36 +0530] "GET /hello_Doctor/EditApponitmentView.jsp?patient_email=shaliniawasthi311@gmail.com HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:54 +0530] "GET /hello_Doctor/Menu.jsp HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:55 +0530] "GET /hello_Doctor/ViewHospital.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:02:57 +0530] "GET /hello_Doctor/Patience_History.jsp?patient_email=shaliniawasthi311%40gmail.com HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:00 +0530] "GET /hello_Doctor/DoctorDownloadServlet?doctorfilename=NIkil%20batch.docx HTTP/1.1" 200 12637
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:29 +0530] "GET /hello_Doctor/AdminPannel.jsp HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:29 +0530] "GET /hello_Doctor/assets/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:29 +0530] "GET /hello_Doctor/assets/vendor/admin/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:29 +0530] "GET /hello_Doctor/assets/vendor/admin/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:29 +0530] "GET /hello_Doctor/assets/vendor/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:29 +0530] "GET /hello_Doctor/images/admin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:32 +0530] "GET /hello_Doctor/Registration_view.jsp HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:33 +0530] "POST /hello_Doctor/Registration_view HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:36 +0530] "GET /hello_Doctor/AddDoctor.jsp HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:44 +0530] "GET /hello_Doctor/AddHosptial.jsp HTTP/1.1" 200 4904
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:47 +0530] "GET /hello_Doctor/AddHosptial.jsp HTTP/1.1" 200 4904
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:49 +0530] "GET /hello_Doctor/AddHosptialDeatils.jsp HTTP/1.1" 200 7810
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:56 +0530] "GET /hello_Doctor/Menu.jsp HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:03:57 +0530] "GET /hello_Doctor/ViewHospital.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:01 +0530] "GET /hello_Doctor/UpdateHosptialDetails.jsp HTTP/1.1" 200 5089
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:05 +0530] "GET /hello_Doctor/EditHopsitalDetails.jsp?hospital_id=1 HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:12 +0530] "POST /hello_Doctor/UpdateConfrim HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:16 +0530] "GET /hello_Doctor/Menu.jsp HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:16 +0530] "GET /hello_Doctor/ViewHospital.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:21 +0530] "GET /hello_Doctor/ContactView.jsp HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:26 +0530] "GET /hello_Doctor/AdminChat.jsp HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:26 +0530] "GET /hello_Doctor/styles.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:26 +0530] "GET /hello_Doctor/chat HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:31 +0530] "GET /hello_Doctor/startchat.jsp HTTP/1.1" 200 4531
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:31 +0530] "GET /hello_Doctor/styles.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:31 +0530] "GET /hello_Doctor/chat HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:53 +0530] "GET /hello_Doctor/Menu.jsp HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:54 +0530] "GET /hello_Doctor/ViewHospital.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [11/Jun/2021:19:04:57 +0530] "GET /hello_Doctor/AdminPannel.jsp HTTP/1.1" 200 3951
